.metric,.estimator,mean,n,std_err,model
ccc,standard,0.9324485969410536,10,0.003253325809606247,KNN
rmse,standard,5.290462433254187,10,0.09587541980539174,KNN
rsq,standard,0.892353459287344,10,0.005911309898269765,KNN
ccc,standard,0.9678204521603241,10,0.001493956435189022,SVM
rmse,standard,3.8323952162756547,10,0.09180795778670973,SVM
rsq,standard,0.9376715543583142,10,0.0029188711866521503,SVM
ccc,standard,0.9610614283482182,10,0.0029363254398821347,Rand. Forest
rmse,standard,4.180454130672894,10,0.13664868833006752,Rand. Forest
rsq,standard,0.9276625193161399,10,0.005966051771978968,Rand. Forest
ccc,standard,0.9643321922265367,10,0.0020971436362414247,Boosted Tree
rmse,standard,4.029388857636454,10,0.10553908925740926,Boosted Tree
rsq,standard,0.9332485951918614,10,0.004221060282217236,Boosted Tree
ccc,standard,0.9643111465406597,10,0.001517730977505195,MLP
rmse,standard,4.073184953250252,10,0.08635421979495697,MLP
rsq,standard,0.9317406464847019,10,0.0030589828025447295,MLP
